concept_id,concept_synonym_name,language_concept_id
2081500003,Comma-Separated Values,4180186
2081500004,Data,4180186
2081500005,ECL 07,4180186
2081500006,ECL 08,4180186
2081500007,ECL T6,4180186
2081500008,ECL T8,4180186
2081500009,European Data Format,4180186
2081500010,GE12SL DX,4180186
2081500011,GE12SL MX,4180186
2081500012,GLASGOW DX,4180186
2081500013,GLASGOW MX,4180186
2081500014,Hierarchical Data Format 5,4180186
2081500015,Header file,4180186
2081500016,HP 06,4180186
2081500017,HP 07,4180186
2081500018,HP 08,4180186
2081500019,JavaScript Object Notation,4180186
2081500020,PH100A,4180186
2081500021,PH100B,4180186
2081500022,PH100C,4180186
2081500023,Philips 09,4180186
2081500024,Philips Extensible Markup Language,4180186
2081500028,Samples per second,4180186
2081500029,Decibel ,4180186
2081500030,kiloohm,4180186
2081500031,"Augmented vector foot, Left foot",4180186
2081500032,"Augmented vector left, Left wrist",4180186
2081500033,"Augmented vector right, Right wrist",4180186
2081500035,Native Signal Resolution,4180186
2081500036,Native Sampling Rate,4180186
2081500047,GLOBAL Measurement,4180186
2081500050,Monitor software version,4180186
2081500051,Waveform Database,4180186
2081500052,Extensible Markup Language,4180186
2082499942,GLOBAL Measurement,4180186
2082499943,Philips Extensible Markup Language,4180186
2082499945,European Data Format,4180186
2082499946,GE12SL MX,4180186
2082499948,Monitor software version,4180186
2082499949,Philips 09,4180186
2082499951,JavaScript Object Notation,4180186
2082499953,GLASGOW DX,4180186
2082499955,ECL 07,4180186
2082499957,HP 06,4180186
2082499958,Extensible Markup Language,4180186
2082499959,ECL T6,4180186
2082499960,kiloohm,4180186
2082499961,Header file,4180186
2082499962,GLASGOW MX,4180186
2082499963,GE12SL DX,4180186
2082499964,Comma-Separated Values,4180186
2082499965,Data,4180186
2082499967,PH100B,4180186
2082499968,Native Sampling Rate,4180186
2082499969,Native Signal Resolution,4180186
2082499970,Hierarchical Data Format 5,4180186
2082499972,Samples per second,4180186
2082499973,"Augmented vector left, Left wrist",4180186
2082499975,Waveform Database,4180186
2082499978,HP 07,4180186
2082499979,"Augmented vector foot, Left foot",4180186
2082499984,ECL T8,4180186
2082499985,PH100A,4180186
2082499986,HP 08,4180186
2082499987,ECL 08,4180186
2082499988,PH100C,4180186
2082499989,"Augmented vector right, Right wrist",4180186
